,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
2322,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
2323,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
2324,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
2325,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
2326,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
2327,Dilli Da Roll,New Palasia,Rolls,400,4.4
2328,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
2329,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
2330,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
2331,Via Indore,New Palasia,North Indian,550,3.6
2332,Delicious Hut,HIG-LIG,North Indian,300,4.1
2333,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
2334,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
2335,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
2336,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
2337,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
2338,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
2339,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
2340,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
2341,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
2342,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
2343,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
2344,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
2345,Oye24,HIG-LIG,"North Indian, Chinese",250,4.1
2346,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
2347,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
2348,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
2349,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
2350,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
2351,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
2352,Hotel Zakir,Khajrana,North Indian,300,4.1
2353,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
2354,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
2355,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
2356,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
2357,99 Rotiwala,HIG-LIG,North Indian,500,4.2
2358,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
2359,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
2360,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
2361,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
2362,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
2363,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
2364,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
2365,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
2366,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
2367,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
2368,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
2369,Mangosteen Cafe,New Palasia,Cafe,800,4
2370,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
2371,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
2372,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
2373,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
2374,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
2375,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
2376,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
2377,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
2378,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
2379,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
2380,KFC,RNT Marg,"Burger, Fast Food",450,3.8
2381,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
2382,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
2383,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
2384,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
2385,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
2386,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
2387,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
2388,Guru Kripa,Rau,North Indian,300,3.9
2389,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
2390,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
2391,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
2392,Spicy Family Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",500,3.7
2393,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
2394,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
2395,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
2396,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
2397,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
2398,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
2399,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
2400,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
2401,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
2402,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
2403,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
2404,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
2405,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
2406,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
2407,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
2408,Ravi Alpahar,Old Palasia,Street Food,100,4.3
2409,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
2410,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
2411,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
2412,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
2413,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
2414,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
2415,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
2416,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
2417,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
2418,Oiya,New Palasia,Cafe,600,4.4
2419,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
2420,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
2421,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
2422,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
2423,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
2424,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
2425,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
2426,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
2427,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
2428,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
2429,Dilli Da Roll,New Palasia,Rolls,400,4.4
2430,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
2431,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
2432,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
2433,Via Indore,New Palasia,North Indian,550,3.6
2434,Delicious Hut,HIG-LIG,North Indian,300,4.1
2435,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
2436,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
2437,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
2438,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
2439,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
2440,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
2441,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
2442,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
2443,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
2444,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
2445,Oye24,HIG-LIG,"North Indian, Chinese",250,4.1
2446,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
2447,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
2448,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
2449,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
2450,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
2451,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
2452,Hotel Zakir,Khajrana,North Indian,300,4.1
2453,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
2454,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
2455,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
2456,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
2457,99 Rotiwala,HIG-LIG,North Indian,500,4.2
2458,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
2459,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
2460,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
2461,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
2462,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
2463,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
2464,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
2465,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
2466,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
2467,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
2468,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
2469,Mangosteen Cafe,New Palasia,Cafe,800,4
2470,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
2471,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
2472,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
2473,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
2474,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
2475,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
2476,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
2477,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
2478,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
2479,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
2480,KFC,RNT Marg,"Burger, Fast Food",450,3.8
2481,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
2482,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
2483,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
2484,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
2485,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
2486,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
2487,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
2488,Guru Kripa,Rau,North Indian,300,3.9
2489,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
2490,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
2491,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
2492,Spicy Family Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",500,3.7
2493,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
2494,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
2495,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
2496,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
2497,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
2498,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
2499,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
2500,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
2501,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
2502,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
2503,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
2504,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
2505,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
2506,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
2507,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
2508,Ravi Alpahar,Old Palasia,Street Food,100,4.3
2509,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
2510,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
2511,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
2512,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
2513,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
2514,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
2515,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
2516,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
2517,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
2518,Oiya,New Palasia,Cafe,600,4.4
2519,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
2520,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
2521,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
2522,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
2523,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
2524,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
2525,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
2526,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
2527,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
2528,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
2529,Dilli Da Roll,New Palasia,Rolls,400,4.4
2530,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
2531,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
2532,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
2533,Via Indore,New Palasia,North Indian,550,3.6
2534,Delicious Hut,HIG-LIG,North Indian,300,4.1
2535,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
2536,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
2537,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
2538,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
2539,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
2540,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
2541,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
2542,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
2543,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
2544,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
2545,Oye24,HIG-LIG,"North Indian, Chinese",250,4.1
2546,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
2547,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
2548,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
2549,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
2550,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
2551,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
2552,Hotel Zakir,Khajrana,North Indian,300,4.1
2553,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
2554,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
2555,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
2556,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
2557,99 Rotiwala,HIG-LIG,North Indian,500,4.2
2558,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
2559,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
2560,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
2561,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
2562,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
2563,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
2564,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
2565,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
2566,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
2567,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
2568,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
2569,Mangosteen Cafe,New Palasia,Cafe,800,4
2570,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
2571,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
2572,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
2573,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
2574,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
2575,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
2576,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
2577,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
2578,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
2579,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
2580,KFC,RNT Marg,"Burger, Fast Food",450,3.8
2581,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
2582,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
2583,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
2584,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
2585,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
2586,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
2587,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
2588,Guru Kripa,Rau,North Indian,300,3.9
2589,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
2590,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
2591,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
2592,Spicy Family Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",500,3.7
2593,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
2594,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
2595,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
2596,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
2597,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
2598,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
2599,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
2600,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
2601,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
2602,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
2603,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
2604,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
2605,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
2606,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
2607,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
2608,Ravi Alpahar,Old Palasia,Street Food,100,4.3
2609,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
2610,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
2611,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
2612,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
2613,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
2614,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
2615,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
2616,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
2617,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
2618,Oiya,New Palasia,Cafe,600,4.4
2619,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
2620,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
2621,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
2622,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
2623,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
2624,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
2625,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
2626,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
2627,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
2628,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
2629,Dilli Da Roll,New Palasia,Rolls,400,4.4
2630,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
2631,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
2632,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
2633,Via Indore,New Palasia,North Indian,550,3.6
2634,Delicious Hut,HIG-LIG,North Indian,300,4.1
2635,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
2636,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
2637,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
2638,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
2639,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
2640,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
2641,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
2642,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
2643,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
2644,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
2645,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
2646,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
2647,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
2648,Simi's,Vijay Nagar,"Bakery, Desserts",300,4.6
2649,Joshi Dahi Bada House,Sarafa Bazaar,Street Food,100,4.9
2650,Little Italy,Vijay Nagar,"Italian, Mexican",1400,4.5
2651,Shreemaya Celebrity,"Hotel Shreemaya Residency, Press Complex","North Indian, South Indian, Italian, Chinese, Street Food",500,4.5
