,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
1318,Blue Dip - Golden Gate,"Golden Gate, Vijay Nagar","North Indian, Chinese",1200,2.9
1319,Fuel Bar,Pride Hotel & Convention Centre,Finger Food,750,3.6
1320,Hotel Shivani,Gangwal Bus Stand,North Indian,1000,3.2
1321,Smaaash,South Tukoganj,Finger Food,1200,3.4
1322,The Liquid Restro Bar - Hotel Uday Palace,Vijay Nagar,"North Indian, Chinese",800,3.3
1323,Good Luck Restaurant & Bar,YN Road,Finger Food,900,3.2
1324,Hotel Sunder,Sarwate Bus Stand,"North Indian, Chinese",1000,2.8
1325,Tonicue The Bar,Rajendra Nagar,"Chinese, North Indian",1100,3
1326,Kava Lounge - Fairfield by Marriott,Fairfield By Marriott,Finger Food,1000,3.2
1327,Clink Bar,"Devi Ahilya Bai Holkar Airport, Airport Road",Finger Food,600,2.9
1328,Hotel Surbhi Restaurant & Bar,Navlakha,North Indian,400,3.1
1329,Fantasy Lounge and Bar,South Tukoganj,"North Indian, Chinese",800,3.1
1330,Signature Boutique Hotel,By Pass Road (North),"North Indian, Chinese",1400,3
1331,Signature Bar,"Hotel Kanchan Tilak, South Tukoganj","North Indian, Chinese",900,3.2
1332,Sapna Bar And Restaurant,Mari Mata Square,North Indian,1300,3
1334,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
1335,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
1336,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
1337,KYRO,Bhawar Kuan,"North Indian, Chinese, Continental, Mediterranean, Asian",1800,3.7
1338,Mediterra - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Mediterranean, Italian",2500,4.5
1339,The Creative Kitchen - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","North Indian, Continental, Mexican, Italian",2000,4.1
1340,Chopstick City - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",Chinese,1500,4.5
1341,"#1, Culinary Avenue - The Red Maple","The Red Maple Mashal, Rau","North Indian, Chinese, Continental",1500,3.9
1342,One Asia - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Chinese, Asian",2000,4.5
1343,Constellation - Hotel WOW,"Hotel Wow, Vijay Nagar","North Indian, Asian, Italian",1800,4.2
1344,Ni Hao - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","Asian, Chinese, Momos",1850,4.6
1345,Indiya Oye - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","North Indian, Kashmiri",1850,4.3
